resort,type,fcst.elev,valley.btm,base.lift,top.lift,x,y,geocoord,mtn.range
Apex,resorts,1445,1445,1575,2180,-119.901258,49.383206,"119.901258W, 49.383206N",Okanagan
Big White,resorts,1450,1450,1508,2319,-118.936465,49.718226,"118.936465W, 49.718226N",Okanagan
Castle,resorts,1791,1400,1410,2273,-114.414854,49.318039,"114.414854W, 49.318039N",South Rockies
Fernie,resorts,1545,980,1052,2134,-115.08805,49.462611,"115.08805W, 49.462611N",South Rockies
Fortress,resorts,2206,1590,2000,2330,-115.198479,50.824895,"115.198479W, 50.824895N",Rockies
Kicking Horse,resorts,1646,860,1190,2450,-117.078433,51.274922,"117.078433W, 51.274922N",Purcells
Kimberley,resorts,1498,1120,1230,1982,-116.016485,49.682298,"116.016485W, 49.682298N",Purcells
Lake Louise,resorts,2119,1560,1646,2637,-116.123127,51.454602,"116.123127W, 51.454602N",Rockies
Marmot,resorts,1741,1086,1698,2612,-118.084851,52.800858,"118.084851W, 52.800858N",Rockies
Mt Washington,resorts,887,1068,1110,1588,-125.310683,49.741935,"125.310683W, 49.741935N",Van. Isle
Mount Cain,resorts,900,1000,1311,1768,-126.343720,50.228459,"126.343720W, 50.228459N",Van. Isle
Nakiska,resorts,1894,1441,1525,2260,-115.151383,50.942581,"115.151383W, 50.942581N",Rockies
Norquay,resorts,1884,1411,1680,2450,-115.600661,51.203489,"115.600661W, 51.203489N",Rockies
Panorama,resorts,1809,1145,1150,2375,-116.237474,50.457003,"116.237474W, 50.457003N",Purcells
Powder King,resorts,1256,890,950,1600,-122.61335,55.358821,"122.61335W, 55.358821N",North Rockies
Red Mountain,resorts,1194,1100,1185,2075,-117.822502,49.104072,"117.822502W, 49.104072N",Monashees
Revelstoke,resorts,1287,450,512,2225,-118.092132,50.962857,"118.092132W, 50.962857N",Monashees
Shames,resorts,737,330,700,1094,-128.961203,54.488983,"128.961203W, 54.488983N",North Coast
Silver Star,resorts,1002,1000,1155,1915,-119.061755,50.358843,"119.061755W, 50.358843N",Okanagan
Sun Peaks,resorts,1152,780,1255,2080,-119.885167,50.882157,"119.885167W, 50.882157N",Monashees
Sunshine,resorts,2078,1600,1658,2730,-115.78181,51.079066,"115.78181W, 51.079066N",Rockies
Whistler,resorts,1419,650,675,2284,-122.953433,50.107467,"122.953433W, 50.107467N",South Coast
Whitewater,resorts,1512,1400,1422,2042,-117.145346,49.443357,"117.145346W, 49.443357N",Selkirks
Whitefish,resorts,1356,915,1361,2078,-114.35356,48.486294,"114.35356W, 48.486294N",South Rockies
Cypress Mountain,resorts,233,0,824,1440,-123.201052,49.395874,"123.201052W, 49.395874N",
Canada Olympic Park,resorts,1129,1072,1135,1245,-114.215,51.076,"114.215W, 51.076N",Foothills
Purden,resorts,901,771,1049,1369,-121.9075,53.90745,121.908W 53.908N,North Rockies
Rogers Pass,backcountry,1772,1100,,,-117.52,51.300418,"117.52W, 51.300418N",Selkirks
Black Prince,backcountry,2219,1740,,,-115.2367,50.706977,"115.2367W, 50.706977N",Rockies
Bow Summit,backcountry,2328,2000,,,-116.498122,51.716055,"116.498122W, 51.716055N",Rockies
Highwood Pass,backcountry,2163,1600,,,-114.967028,50.594155,"114.967028W, 50.594155N",Rockies
Kootenay Pass,backcountry,1537,1300,,,-117.040151,49.05648,"117.040151W, 49.05648N",Selkirks
Asulkan,backcountry,1860,1200,,,-117.463,51.212,"117.463W, 51.212N",Selkirks
Balu Pass,backcountry,1825,1100,,,-117.564969,51.289535,"117.564969W, 51.289353N",Selkirks
Amiskwi Lodge,backcountry,2127,1650,,,-116.670556,51.61807,"116.670556W, 51.61807N",Rockies
Pemberton Icecap,backcountry,1737,1000,,,-123.2646,50.3568,"123.2646W, 50.3568N",South Coast
Waterton,backcountry,1829,1279,,,-114.025,49.0597,"114.025W, 49.0597N",South Rockies
Jumbo Glacier,backcountry,2219,1400,,,-116.5611,50.4071,"116.5611W, 50.4071N",Purcells
Burstall Pass,backcountry,2217,1200,,,-115.3471,50.772684,"115.3471W, 50.772684N",Rockies
Assiniboine,backcountry,2212,1800,,,-115.6204,50.913072,"115.6204W, 50.913072N",Rockies
Aster Lake,backcountry,2270,1720,,,-115.20417,50.580097,"115.204170W, 50.580097N",Rockies
Vermillion Peak,backcountry,2013,1425,,2647,-116.1285,51.1568,"116.1285W, 51.1568N",Rockies
Parker Ridge,backcountry,2377,1950,,,-117.1298,52.18588,"117.1298W, 52.18588N",Rockies
Little Yoho,backcountry,2132,1600,,,-116.5643,51.5256,"116.5643W, 51.5256N",Rockies
Lake OHara,backcountry,2069,1900,,,-116.3444,51.3556,"116.3444W, 51.3556N",Rockies
Emerald Lake,backcountry,1906,1900,,,-116.5354,51.44068,"116.5354W, 51.44068N",Rockies
Maligne Lake,backcountry,1739,1500,,,-117.619954,52.725637,"117.619954W, 52.725637N",Rockies
Pincher Creek,towns,1207,1100,,,-113.9484,49.50099,"113.9484W, 49.50099N",South Rockies
Moraine Lake,backcountry,2105,1520,,,-116.180802,51.327815,"116.180802W, 51 y .327815N",Rockies
Blanket Glacier,backcountry,1447,450,1400,2809,-118.248424,50.798957,"118.248424W, 50.798957N",Monashees
